id,text,sentence,pet,label,category,euph_status,literal_translation,euphemistic_meaning,source
0,"Ni ana, Taiwo, ẹ̀gbọ́n Funke, ni pe ikun e n ro oun. Nigbati o di aro oni, o ni pe [PET_BOUNDARY]Àlejò[PET_BOUNDARY] í àlejò rẹ̀ lale ánà.","Ni ana, Taiwo, ẹ̀gbọ́n Funke, ni pe ikun e n ro oun. Nigbati o di aro oni, o ni pe [PET_BOUNDARY]Àlejò[PET_BOUNDARY] í àlejò rẹ̀ lale ánà.",Àlejò,1,Bodily Functions/Parts,sometimes_euph,guest,menstruation,iyanu
1,a mu aso ti obirin naa fi se [PET_BOUNDARY]Àlejò[PET_BOUNDARY] yii,a mu aso ti obirin naa fi se [PET_BOUNDARY]Àlejò[PET_BOUNDARY] yii,Àlejò,1,Bodily Functions/Parts,sometimes_euph,guest,menstruation,facebook
2,obinrin ti ko ri [PET_BOUNDARY]Àlejò[PET_BOUNDARY] re mo,obinrin ti ko ri [PET_BOUNDARY]Àlejò[PET_BOUNDARY] re mo,Àlejò,1,Bodily Functions/Parts,sometimes_euph,guest,menstruation,facebook
3,"BI [PET_BOUNDARY]nkan osu[PET_BOUNDARY] OBIRIN KOBA LO LASIKO...e je kia mu aso ti obirin naa fi s [PET_BOUNDARY]Àlejò[PET_BOUNDARY] jo yii, kia lo gbele lori ogan ikan kia wa fi aso yii si , ti awon ikan yii bati kole bo aso yi mole lojo yen naa ni [PET_BOUNDARY]nkan osu[PET_BOUNDARY]n naa ma dawo duro. Ire oo.","BI [PET_BOUNDARY]nkan osu[PET_BOUNDARY] OBIRIN KOBA LO LASIKO...e je kia mu aso ti obirin naa fi s [PET_BOUNDARY]Àlejò[PET_BOUNDARY] jo yii, kia lo gbele lori ogan ikan kia wa fi aso yii si , ti awon ikan yii bati kole bo aso yi mole lojo yen naa ni [PET_BOUNDARY]nkan osu[PET_BOUNDARY]n naa ma dawo duro. Ire oo.",Àlejò,1,Bodily Functions/Parts,sometimes_euph,guest,menstruation,https://www.facebook.com/1897271743837181/posts/bi-nkan-osu-obirin-koba-lo-lasikoe-jekia-mu-aso-ti-obirin-naafi-se-alejo-yii-kia/2054282591469428/
4,", máṣe kọ̀ silẹ, bẹ̃ni ki iwọ ki o máṣe lọ si ile arakunrin li ọjọ idãmu rẹ: nitoripe aladugbo ti o sunmọ ni, o san jù arakunrin ti o jina rere lọ. 11 Ọmọ mi, ki iwọ ki o gbọ́n, ki o si mu inu mi dùn; ki emi ki o le da ẹniti ngàn mi lohùn. 12 Amoye enia ri ibi tẹlẹ, o si pa ara rẹ̀ mọ́; ṣugbọn awọn òpe kọja a si jẹ wọn niya. 13 Gbà aṣọ [PET_BOUNDARY]Àlejò[PET_BOUNDARY] nitoriti o ṣe onigbọwọ alejo , si gbà ohun ẹri lọwọ rẹ̀ fun ajeji obinrin. 14 Ẹniti o ba ndide ni kutukutu ti o nfi ohùn rara kí ọrẹ́ rẹ̀, egún li a o kà a si fun u. 15 Ọṣọrọ-òjo li ọjọ òjo, ati onija obinrin, bakanna ni. 16 Ẹnikẹni ti o pa a mọ́, o pa ẹfũfu mọ́, ororo ọwọ-ọtún rẹ̀ yio si fihàn. 17 Irin a ma pọn irin: bẹ̃li ọkunrin ipọn oju ọrẹ́ rẹ̀. 18 Ẹnikẹni ti o tọju igi-ọpọtọ yio jẹ eso",", máṣe kọ̀ silẹ, bẹ̃ni ki iwọ ki o máṣe lọ si ile arakunrin li ọjọ idãmu rẹ: nitoripe aladugbo ti o sunmọ ni, o san jù arakunrin ti o jina rere lọ. 11 Ọmọ mi, ki iwọ ki o gbọ́n, ki o si mu inu mi dùn; ki emi ki o le da ẹniti ngàn mi lohùn. 12 Amoye enia ri ibi tẹlẹ, o si pa ara rẹ̀ mọ́; ṣugbọn awọn òpe kọja a si jẹ wọn niya. 13 Gbà aṣọ [PET_BOUNDARY]Àlejò[PET_BOUNDARY] nitoriti o ṣe onigbọwọ alejo , si gbà ohun ẹri lọwọ rẹ̀ fun ajeji obinrin. 14 Ẹniti o ba ndide ni kutukutu ti o nfi ohùn rara kí ọrẹ́ rẹ̀, egún li a o kà a si fun u. 15 Ọṣọrọ-òjo li ọjọ òjo, ati onija obinrin, bakanna ni. 16 Ẹnikẹni ti o pa a mọ́, o pa ẹfũfu mọ́, ororo ọwọ-ọtún rẹ̀ yio si fihàn. 17 Irin a ma pọn irin: bẹ̃li ọkunrin ipọn oju ọrẹ́ rẹ̀. 18 Ẹnikẹni ti o tọju igi-ọpọtọ yio jẹ eso",Àlejò,0,Bodily Functions/Parts,sometimes_euph,guest,menstruation,http://gospelgo.com/f/yoruba_bible.htm
5,"ọwọ́-ẹran rẹ, nwọn o jẹ àjara rẹ ati igi ọ̀pọtọ rẹ, nwọn o fi idà sọ ilu olodi rẹ ti iwọ gbẹkẹle di ahoro. 18 Ṣugbọn li ọjọ wọnnì, li Oluwa wi, emi kì yio ṣe iparun nyin patapata. 19 Yio si ṣe, nigbati ẹnyin o wipe: Ẽṣe ti Oluwa Ọlọrun wa fi ṣe gbogbo ohun wọnyi si wa? nigbana ni iwọ o da wọn lohùn: Gẹgẹ bi ẹnyin ti kọ̀ mi, ti ẹnyin si nsìn ọlọrun ajeji ni ilẹ ny [PET_BOUNDARY]Àlejò[PET_BOUNDARY] ẹ̃ni ẹnyin o sin alejo ni ilẹ ti kì iṣe ti nyin.","ọwọ́-ẹran rẹ, nwọn o jẹ àjara rẹ ati igi ọ̀pọtọ rẹ, nwọn o fi idà sọ ilu olodi rẹ ti iwọ gbẹkẹle di ahoro. 18 Ṣugbọn li ọjọ wọnnì, li Oluwa wi, emi kì yio ṣe iparun nyin patapata. 19 Yio si ṣe, nigbati ẹnyin o wipe: Ẽṣe ti Oluwa Ọlọrun wa fi ṣe gbogbo ohun wọnyi si wa? nigbana ni iwọ o da wọn lohùn: Gẹgẹ bi ẹnyin ti kọ̀ mi, ti ẹnyin si nsìn ọlọrun ajeji ni ilẹ ny [PET_BOUNDARY]Àlejò[PET_BOUNDARY] ẹ̃ni ẹnyin o sin alejo ni ilẹ ti kì iṣe ti nyin.",Àlejò,0,Bodily Functions/Parts,sometimes_euph,guest,menstruation,http://gospelgo.com/f/yoruba_bible.htm
6,"apẹhinda, ti dá ara rẹ̀ li are ju Juda alarekereke lọ. 12 Lọ ki o si kede ọ̀rọ wọnyi ni iha ariwa, ki o si wipe, Yipada iwọ Israeli, apẹhinda, li Oluwa wi, emi kì yio jẹ ki oju mi ki o korò si ọ; nitori emi ni ãnu, li Oluwa wi, emi kì o si pa ibinu mi mọ titi lai. 13 Sa jẹwọ ẹ̀ṣẹ rẹ pe, iwọ ti ṣẹ̀ si Oluwa Ọlọrun rẹ, ati pe, o s [PET_BOUNDARY]Àlejò[PET_BOUNDARY] ọ̀na rẹ ka fun awọn alejo labẹ igi tutu gbogbo, ṣugbọn ẹnyin kò gba ohùn mi gbọ́, li Oluwa wi. 14 Pada, ẹnyin apẹhinda ọmọ, li Oluwa wi, nitori emi gbe nyin ni iyawo; emi o si mu nyin, ọkan ninu ilu kan, ati meji ninu idile kan; emi o si mu nyin wá si Sioni. 15 Emi o si fun nyin li oluṣọ-agutan gẹgẹ bi ti inu mi, ti yio fi ìmọ ati oye bọ́ nyin. 16 Yio si ṣe nigbati ẹnyin ba pọ̀ si i, ti ẹ si","apẹhinda, ti dá ara rẹ̀ li are ju Juda alarekereke lọ. 12 Lọ ki o si kede ọ̀rọ wọnyi ni iha ariwa, ki o si wipe, Yipada iwọ Israeli, apẹhinda, li Oluwa wi, emi kì yio jẹ ki oju mi ki o korò si ọ; nitori emi ni ãnu, li Oluwa wi, emi kì o si pa ibinu mi mọ titi lai. 13 Sa jẹwọ ẹ̀ṣẹ rẹ pe, iwọ ti ṣẹ̀ si Oluwa Ọlọrun rẹ, ati pe, o s [PET_BOUNDARY]Àlejò[PET_BOUNDARY] ọ̀na rẹ ka fun awọn alejo labẹ igi tutu gbogbo, ṣugbọn ẹnyin kò gba ohùn mi gbọ́, li Oluwa wi. 14 Pada, ẹnyin apẹhinda ọmọ, li Oluwa wi, nitori emi gbe nyin ni iyawo; emi o si mu nyin, ọkan ninu ilu kan, ati meji ninu idile kan; emi o si mu nyin wá si Sioni. 15 Emi o si fun nyin li oluṣọ-agutan gẹgẹ bi ti inu mi, ti yio fi ìmọ ati oye bọ́ nyin. 16 Yio si ṣe nigbati ẹnyin ba pọ̀ si i, ti ẹ si",Àlejò,0,Bodily Functions/Parts,sometimes_euph,guest,menstruation,http://gospelgo.com/f/yoruba_bible.htm
7,"1 RANTI, Oluwa, ohun ti o de sori wa; rò ki o si wò ẹ̀gan wa! 2 A fi ogún wa [PET_BOUNDARY]Àlejò[PET_BOUNDARY] wọn alejo lọwọ, ile wa fun awọn ajeji. 3 Awa jẹ alaini obi, baba kò si, awọn iyá wa dabi opó. 4 Awa ti fi owo mu omi wa; a nta igi wa fun wa. 5 Awọn ti nlepa wa sunmọ ọrùn wa: ãrẹ̀ mu wa, awa kò si ni isimi. 6 Awa ti fi ọwọ wa fun awọn ara Egipti, ati fun ara Assiria, lati fi onjẹ tẹ́ wa lọrùn. 7 Awọn baba wa ti ṣẹ̀, nwọn kò si sí; awa si nrù aiṣedede wọn","1 RANTI, Oluwa, ohun ti o de sori wa; rò ki o si wò ẹ̀gan wa! 2 A fi ogún wa [PET_BOUNDARY]Àlejò[PET_BOUNDARY] wọn alejo lọwọ, ile wa fun awọn ajeji. 3 Awa jẹ alaini obi, baba kò si, awọn iyá wa dabi opó. 4 Awa ti fi owo mu omi wa; a nta igi wa fun wa. 5 Awọn ti nlepa wa sunmọ ọrùn wa: ãrẹ̀ mu wa, awa kò si ni isimi. 6 Awa ti fi ọwọ wa fun awọn ara Egipti, ati fun ara Assiria, lati fi onjẹ tẹ́ wa lọrùn. 7 Awọn baba wa ti ṣẹ̀, nwọn kò si sí; awa si nrù aiṣedede wọn",Àlejò,0,Bodily Functions/Parts,sometimes_euph,guest,menstruation,http://gospelgo.com/f/yoruba_bible.htm
8,": idajọ rẹ̀ mbẹ ni gbogbo aiye. 8 O ti ranti majẹmu rẹ̀ lailai, ọ̀rọ ti o ti pa li aṣẹ fun ẹgbẹrun iran. 9 Majẹmu ti o ba Abrahamu dá, ati ibura rẹ̀ fun Isaaki; 10 O si gbé eyi na kalẹ li ofin fun Jakobu, ati fun Israeli ni majẹmu aiyeraiye. 11 Pe, iwọ li emi o fi ilẹ Kenaani fun, ipin ilẹ-ini nyin. 12 Nigbati o ṣe pe kiun ni nwọn wà ni iy [PET_BOUNDARY]Àlejò[PET_BOUNDARY] tõtọ, diẹ kiun, nwọn si ṣe alejo ninu rẹ̀. 13 Nigbati nwọn nlọ lati orilẹ-ède de orilẹ-ède, lati ijọba kan de ọdọ awọn enia miran; 14 On kò jẹ ki ẹnikẹni ki o ṣe wọn ni iwọsi: Nitõtọ, o ba awọn ọba wi nitori wọn; 15 Pe, Ẹ máṣe fi ọwọ kan ẹni-ororo mi ki ẹ má si ṣe awọn woli mi ni ibi, 16 Pẹlupẹlu o pè ìyan wá si ilẹ na: o ṣẹ́ gbogbo ọpá onjẹ. 17 O rán ọkunrin kan lọ siwaju wọn; ani Josefu",": idajọ rẹ̀ mbẹ ni gbogbo aiye. 8 O ti ranti majẹmu rẹ̀ lailai, ọ̀rọ ti o ti pa li aṣẹ fun ẹgbẹrun iran. 9 Majẹmu ti o ba Abrahamu dá, ati ibura rẹ̀ fun Isaaki; 10 O si gbé eyi na kalẹ li ofin fun Jakobu, ati fun Israeli ni majẹmu aiyeraiye. 11 Pe, iwọ li emi o fi ilẹ Kenaani fun, ipin ilẹ-ini nyin. 12 Nigbati o ṣe pe kiun ni nwọn wà ni iy [PET_BOUNDARY]Àlejò[PET_BOUNDARY] tõtọ, diẹ kiun, nwọn si ṣe alejo ninu rẹ̀. 13 Nigbati nwọn nlọ lati orilẹ-ède de orilẹ-ède, lati ijọba kan de ọdọ awọn enia miran; 14 On kò jẹ ki ẹnikẹni ki o ṣe wọn ni iwọsi: Nitõtọ, o ba awọn ọba wi nitori wọn; 15 Pe, Ẹ máṣe fi ọwọ kan ẹni-ororo mi ki ẹ má si ṣe awọn woli mi ni ibi, 16 Pẹlupẹlu o pè ìyan wá si ilẹ na: o ṣẹ́ gbogbo ọpá onjẹ. 17 O rán ọkunrin kan lọ siwaju wọn; ani Josefu",Àlejò,0,Bodily Functions/Parts,sometimes_euph,guest,menstruation,http://gospelgo.com/f/yoruba_bible.htm
9,"titọ. 12 Eti igbọ́ ati oju irí, Oluwa li o ti dá awọn mejeji. 13 Máṣe fẹ orun sisùn, ki iwọ ki o má ba di talaka; ṣi oju rẹ, a o si fi onjẹ tẹ ọ lọrùn. 14 Kò ni lãri, kò ni lãri li oníbárà iwi; ṣugbọn nigbati o ba bọ si ọ̀na rẹ̀, nigbana ni iṣogo. 15 Wura wà ati iyùn ọ̀pọlọpọ: ṣugbọn ète ìmọ, èlo iyebiye ni. 16 Gba aṣ [PET_BOUNDARY]Àlejò[PET_BOUNDARY] , nitori ti o ṣe onigbọwọ fun alejo , si gba ohun ẹrí lọwọ rẹ̀ fun ajeji obinrin. 17 Onjẹ ẹ̀tan dùn mọ enia; ṣugbọn nikẹhin, ẹnu rẹ̀ li a o fi tarã kún. 18 Igbimọ li a fi ifi idi ete gbogbo kalẹ: ati pẹlu èro rere ni ki o ṣigun. 19 Ẹniti o ba nkiri bi olofofo a ma fi ọ̀ran ìkọkọ hàn: má si ṣe ba ẹniti nṣi ète rẹ̀ ṣire. 20 Ẹnikẹni ti o ba bú baba rẹ̀ tabi iya rẹ̀, fitila rẹ̀ li a o pa ninu òkunkun biribiri. 21 Ogún ti","titọ. 12 Eti igbọ́ ati oju irí, Oluwa li o ti dá awọn mejeji. 13 Máṣe fẹ orun sisùn, ki iwọ ki o má ba di talaka; ṣi oju rẹ, a o si fi onjẹ tẹ ọ lọrùn. 14 Kò ni lãri, kò ni lãri li oníbárà iwi; ṣugbọn nigbati o ba bọ si ọ̀na rẹ̀, nigbana ni iṣogo. 15 Wura wà ati iyùn ọ̀pọlọpọ: ṣugbọn ète ìmọ, èlo iyebiye ni. 16 Gba aṣ [PET_BOUNDARY]Àlejò[PET_BOUNDARY] , nitori ti o ṣe onigbọwọ fun alejo , si gba ohun ẹrí lọwọ rẹ̀ fun ajeji obinrin. 17 Onjẹ ẹ̀tan dùn mọ enia; ṣugbọn nikẹhin, ẹnu rẹ̀ li a o fi tarã kún. 18 Igbimọ li a fi ifi idi ete gbogbo kalẹ: ati pẹlu èro rere ni ki o ṣigun. 19 Ẹniti o ba nkiri bi olofofo a ma fi ọ̀ran ìkọkọ hàn: má si ṣe ba ẹniti nṣi ète rẹ̀ ṣire. 20 Ẹnikẹni ti o ba bú baba rẹ̀ tabi iya rẹ̀, fitila rẹ̀ li a o pa ninu òkunkun biribiri. 21 Ogún ti",Àlejò,0,Bodily Functions/Parts,sometimes_euph,guest,menstruation,http://gospelgo.com/f/yoruba_bible.htm
