,ID,TEXT,PET,LABEL,EUPH_STATUS
1489,1489,Brother E sha n [PET_BOUNDARY]gbele pawo[PET_BOUNDARY] .,gbele pawo,0,sometimes_euph
1846,1846,"Iwo Obinrin Ti O Nifesi Ileke [PET_BOUNDARY]idi[PET_BOUNDARY] Lilo Abi Chain Idi Lilo,Kilo Mu E Nifesi?🤷Iwo Obinrin Ti O Ki Lo,Ki Lo Mu E Lodi Si",idi,0,sometimes_euph
1422,1422,Awon onimo isegun yi w ape fun titunbo dokowo si eka yi lati fi koju ipenija yi nipa bi akosile se fihan pea won [PET_BOUNDARY]alarun opolo[PET_BOUNDARY]  po nile Nigeria ti a ba se igbilewon re pelu awon orileede miin nile Africa.,alaarun opolo,1,always_euph
290,290,Awọn miran nilo ati yọ [PET_BOUNDARY][PET_BOUNDARY] ilé ọmọ[PET_BOUNDARY] [PET_BOUNDARY] obìnrin [PET_BOUNDARY] [PET_BOUNDARY] wọn kuro ki wọn ba le gbadun ilera ara wọn.,ilé ọmọ obìnrin,1,always_euph
2044,2044,"O ma n fi ada halẹ mo awọn ti o ba de ni [PET_BOUNDARY]Alejo[PET_BOUNDARY] , ti yoo si ṣe bi ẹni pe awọn ekeji rẹ wa ni ita pẹlu ibọn ti wọn ba gbiyanju lati pariwo.",Alejo,0,sometimes_euph
1028,1028,"Oju maa n ti awọn ọkunrin lati ro iru ẹjọ bẹ ẹ sita - wọn le fi ẹjọ iwa buruku iyawo wọn sun o, ṣugbọn wọn ko ni i sọ pe o n fi tabi fẹ ẹ fi ipa ba w [PET_BOUNDARY]lò[PET_BOUNDARY] lo pọ.",lò,1,sometimes_euph
689,689,"Ti won ba n saduura pe ki Olorun ma je keeyan rogun o [PET_BOUNDARY]rele[PET_BOUNDARY] ko dele,",re ile,1,sometimes_euph
306,306,"[PET_BOUNDARY]oju abe[PET_BOUNDARY] obinrin nita ti wọn n pe ni vulva yẹn gan lo ni awọn agbegbe ti o ma n mu ki ibalopọ dun fun obinrin, ti o si ma n mu ki ara obinrin ji pepe ti wọn ba fi ọwọ kan an lasiko ere ibalopọ.",oju abe,1,always_euph
1434,1434,"Onimo isegun itoju [PET_BOUNDARY]arun opolo[PET_BOUNDARY] , Dokita Yinka Adefolarin salaye wipe isoro atije atimu ti wopo lawujo ati isoro ajakale arun Covid-19 to n ja ranin ranin lagbaye ti so opo eeyan di akurete.",alaarun opolo,1,always_euph
1572,1572,Bangladesh Brothel: Ọ̀pọ̀ àw [PET_BOUNDARY]asewo[PET_BOUNDARY] ẹ́wó tó wà níbẹ̀ ni wọ́n bí sílé aṣẹ́wó náà,asewo,1,always_euph
1,1,a mu aso ti obirin naa fi se [PET_BOUNDARY]Àlejò[PET_BOUNDARY] yii,Àlejò,1,sometimes_euph
784,784,"O ma ṣe o, ijamba ọkọ [PET_BOUNDARY]gbẹmi[PET_BOUNDARY] eeyan mẹrinla n’Ipetu-Ijeṣa",gbe emi mi,1,always_euph
333,333,Wo bí àwọn obìnrin yìí ṣe máa ń gbáradì ojú [PET_BOUNDARY]abẹ[PET_BOUNDARY] ́ wọn fún ìbálòpọ̀,abẹ,1,sometimes_euph
2296,2296,Mo fe [PET_BOUNDARY]La[PET_BOUNDARY] icecream,La,0,sometimes_euph
