id,text,sentence,pet,label,category,euph_status
0,"no existe allá la posibilidad del voto directo, en tanto que desde el Estado se impone abiertamente la censura en los medios masivos de comunicación, para tratar de lavarle la cara a un gobierno que, haciendo caso omiso de Naciones Unidas, decidió por sí mismo invadir a un país petrolero inmensamente rico, sin importar los [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] que ello conllevaría a la población iraquí. Las dolorosas imágenes están ahí, aunque una gran mayoría de estadounidenses no tengan acceso a ellas","no existe allá la posibilidad del voto directo, en tanto que desde el Estado se impone abiertamente la censura en los medios masivos de comunicación, para tratar de lavarle la cara a un gobierno que, haciendo caso omiso de Naciones Unidas, decidió por sí mismo invadir a un país petrolero inmensamente rico, sin importar los [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] que ello conllevaría a la población iraquí",Daños colaterales,1,Politics,sometimes_euph
1,"Pero, a diferencia del medicamento que saltó a la fama hace poco más de dos años, el vardenafil es mucho más selectivo a la hora de inhibir la fosfodiesterasa y evita [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] en cerebro, corazón, ojos, y riñones.","Pero, a diferencia del medicamento que saltó a la fama hace poco más de dos años, el vardenafil es mucho más selectivo a la hora de inhibir la fosfodiesterasa y evita [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] en cerebro, corazón, ojos, y riñones",Daños colaterales,1,Bodily Functions/Parts,sometimes_euph
2,"los bombardeos sobre Afganistán. Victoria Clarke, portavoz del Pentágono, dijo que los ataques ya no se centraban en las defensas antiaéreas, sino especialmente en los cuarteles y las tropas de los talibán. ""Dijimos que lo haríamos, y estamos haciéndolo"", declaró. Los bombardeos no demostraban gran preocupación por los posibles [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] o la muerte de civiles, ya que las bombas de fragmentación, que estallan durante la caída y esparcen a gran distancia docenas de minibombas altamente explosivas, no garantizan la precisión."," Los bombardeos no demostraban gran preocupación por los posibles [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] o la muerte de civiles, ya que las bombas de fragmentación, que estallan durante la caída y esparcen a gran distancia docenas de minibombas altamente explosivas, no garantizan la precisión",Daños colaterales,1,Politics,sometimes_euph
3,"Acaso las limitaciones señaladas —entre las cuales figura el boicot de instituciones estadounidenses a figuras disidentes como Tim Robbins o Susan Sarandon— deban incluirse en el paquete de [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] y sus víctimas puedan contabilizarse entre las que caen bajo el ""fuego amigo"". Pero convendría saber en qué categoría corresponde colocar el desastre cultural ocurrido luego de la toma de Bagdad, cuando el Museo Arqueológico Nacional resultó saqueado y devastado por asaltantes que nadie controló ni reprimió, o cuando la Biblioteca Nacional de Bagdad quedó vaciada y luego quemada por turbas similares ante las cuales no hubo reacción alguna del ejército ocupante, mientras el Conservatorio de Música también caía bajo el pillaje, con destrucción de todos los instrumentos musicales que cobijaba.","Acaso las limitaciones señaladas —entre las cuales figura el boicot de instituciones estadounidenses a figuras disidentes como Tim Robbins o Susan Sarandon— deban incluirse en el paquete de [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY] y sus víctimas puedan contabilizarse entre las que caen bajo el ""fuego amigo""",Daños colaterales,1,Politics,sometimes_euph
4,"El lenguaje es un arma de doble filo que muestra tanto como oculta y crea tanto como destruye. Cuando un esquimal mira a la nieve, ve una realidad totalmente distinta que la que yo veo. El esquimal tiene unos cuarenta términos para calificar la nieve. Yo, en cambio, que solo he esquiado dos veces en mi vida, simplifico esa compleja realidad en un solo concepto homogeneizador. En consecuencia, el lenguaje es a menudo utilizado para encubrir (sirvan como muestra algunos tristemente actuales eufemismos como [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY], guerra preventiva, downsizing y rightsizing y manipular el punto de vista."," En consecuencia, el lenguaje es a menudo utilizado para encubrir (sirvan como muestra algunos tristemente actuales eufemismos como [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY], guerra preventiva, downsizing y rightsizing y manipular el punto de vista",Daños colaterales,0,Politics,sometimes_euph
5,"Llamó la esposa hecha una furia porque lo estaban esperando hacía tres horas para soplar las velitas y Juampi esperaba la playstation que le había prometido. Cuando Ernesto salió del estudio, eran las dos de la mañana. [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY], se justificó, su trabajo era así y había que aceptarlo."," [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY], se justificó, su trabajo era así y había que aceptarlo",Daños colaterales,1,Employment/Finances,sometimes_euph
6,"Al igual que a la protagonista de Problemas conyugales, los hombres le merecen una opinión muy poco favorable a Trini y Maruchi, que, en Mujeres de vida fácil, se pasan gran parte de sus días esperando a los clientes en un [PET_BOUNDARY]Bar de alterne[PET_BOUNDARY], mientras suena la música de Tatuaje, de doña Concha Piquer. Tampoco ha sido fácil la vida de Paquiña, que, en Promesa de amor, nos refiere con detalle la infidelidad de su marido y las medidas que tomó.","Al igual que a la protagonista de Problemas conyugales, los hombres le merecen una opinión muy poco favorable a Trini y Maruchi, que, en Mujeres de vida fácil, se pasan gran parte de sus días esperando a los clientes en un [PET_BOUNDARY]Bar de alterne[PET_BOUNDARY], mientras suena la música de Tatuaje, de doña Concha Piquer",Bar de alterne,1,Sexual Activity,always_euph
7,"Es rubia y alta, parece como sueca y habla un español encanallado con gracia muy propio de las chulapas castizas que ya no existen en Madrid. Su padre y su madre son polacos que trabajaban en las minas de Almadén como técnicos de minas. Murieron en un accidente de automóvil cuando tenía cinco años. Pasó a un orfanato, a otro, luego a una familia, a otra, a un padre de mentira, a otro amoroso, hasta llegar al Johnny que la respeta y vive en ocasiones con ella. Pero el Johnny está de viaje, a lo mejor la ha abandonado y ella ha buscado por la Plaza de Santo Domingo, su territorio. En el despacho de quinielas venía perseguida por un chulo que era portero de un [PET_BOUNDARY]Bar de alterne[PET_BOUNDARY] llamado La Rubia Gozosa.",En el despacho de quinielas venía perseguida por un chulo que era portero de un [PET_BOUNDARY]Bar de alterne[PET_BOUNDARY] llamado La Rubia Gozosa,Bar de alterne,1,Sexual Activity,always_euph
8,Advierte que la falta de liquidación de los gastos en forma oportuna puede provocar [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de fondos y afecta el saldo de la caja fiscal al 31 de diciembre del año pasado.,Advierte que la falta de liquidación de los gastos en forma oportuna puede provocar [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de fondos y afecta el saldo de la caja fiscal al 31 de diciembre del año pasado,Apropiación indebida,1,Politics,always_euph
9,"Desde su creación y hasta que fuera privatizada la institución en 1985, ninguna empresa o repartición pública podía contratar seguros con aseguradoras privadas, según lo ordenaba la ley. Asimismo, los únicos operadores autorizados en el ISE eran los propios funcionarios rentados de la entidad. El traspaso gratuito de la cartera fiscal a Inés Lucía Pinochet, sin el respaldo o autorización de una ley que lo determinara expresamente, tiene un solo nombre: [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de recursos públicos. No hay justificación alguna para que ese hecho no haya sido debidamente investigado y, al menos, aclarado judicialmente."," El traspaso gratuito de la cartera fiscal a Inés Lucía Pinochet, sin el respaldo o autorización de una ley que lo determinara expresamente, tiene un solo nombre: [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de recursos públicos",Apropiación indebida,1,Politics,always_euph
