,prompt,text,response,model,temperature,seed,true_value
0,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Esto le costó la separación de una parte del Alto Perú (hoy en territorio boliviano), del Uruguay, del Paraguay, la casi pérdida de Corrientes y varias décadas de guerra civil entre unitarios y federales. La desmembración del Virreinato del Río de la Plata es más una manifestación de la torpeza porteña que de la eficacia del Imperio del Brasil. Aunque es inobjetable que esto favoreció al Brasil quien siempre vio la reunificación del Virreinato como una amenaza para su seguridad. Juan Manuel de Rosas siempre quiso esa reunificación y era el punto de [PET_BOUNDARY]Fricción[PET_BOUNDARY] con el Dr. Francia, aunque las relaciones entre ambos eran cordiales y de mutuo respeto. Incluso debo decir que tenían muchos puntos en común en materia de política exterior.","Esto le costó la separación de una parte del Alto Perú (hoy en territorio boliviano), del Uruguay, del Paraguay, la casi pérdida de Corrientes y varias décadas de guerra civil entre unitarios y federales. La desmembración del Virreinato del Río de la Plata es más una manifestación de la torpeza porteña que de la eficacia del Imperio del Brasil. Aunque es inobjetable que esto favoreció al Brasil quien siempre vio la reunificación del Virreinato como una amenaza para su seguridad. Juan Manuel de Rosas siempre quiso esa reunificación y era el punto de [PET_BOUNDARY]Fricción[PET_BOUNDARY] con el Dr. Francia, aunque las relaciones entre ambos eran cordiales y de mutuo respeto. Incluso debo decir que tenían muchos puntos en común en materia de política exterior.",0,gpt-5-nano,1,4,1
1,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Actividad biológica: la tintura de las hojas [PET_BOUNDARY]es activa[PET_BOUNDARY] contra Salmonella typhi, Salmonella fl, tiene actividad antimalárica contra P gallinaceum.","Actividad biológica: la tintura de las hojas [PET_BOUNDARY]es activa[PET_BOUNDARY] contra Salmonella typhi, Salmonella fl, tiene actividad antimalárica contra P gallinaceum.",0,gpt-5-nano,1,4,0
2,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Además Albiol habló sobre el Villarreal, rival de este miércoles en Liga: ""Está claro que [PET_BOUNDARY]no está en su mejor momento[PET_BOUNDARY] pero no hay que confiarse. Cuando un equipo está así es cuando es más peligroso. Va a ser un partido complicado con un equipo que juega muy bien al fútbol y que en el campo se siente cómodo.","Además Albiol habló sobre el Villarreal, rival de este miércoles en Liga: ""Está claro que [PET_BOUNDARY]no está en su mejor momento[PET_BOUNDARY] pero no hay que confiarse. Cuando un equipo está así es cuando es más peligroso. Va a ser un partido complicado con un equipo que juega muy bien al fútbol y que en el campo se siente cómodo.",1,gpt-5-nano,1,4,0
3,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Su extenso trabajo, de fuerte [PET_BOUNDARY]Carga emocional[PET_BOUNDARY], se desarrolló en una estética encuadrada en lo que hoy se llama teatro danza.","Su extenso trabajo, de fuerte [PET_BOUNDARY]Carga emocional[PET_BOUNDARY], se desarrolló en una estética encuadrada en lo que hoy se llama teatro danza.",0,gpt-5-nano,1,4,0
4,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Su acompañante salió corriendo, pues el hombre sacó un arma y comenzó a disparar. Ella intentó escapar y resguardarse, pero el hombre la siguió y la tomó por el cabello logrando [PET_BOUNDARY]neutralizarla[PET_BOUNDARY]. Una vez que la tiró al piso, le disparó múltiples veces, dejándola agonizante en el pavimento.","Su acompañante salió corriendo, pues el hombre sacó un arma y comenzó a disparar. Ella intentó escapar y resguardarse, pero el hombre la siguió y la tomó por el cabello logrando [PET_BOUNDARY]neutralizarla[PET_BOUNDARY]. Una vez que la tiró al piso, le disparó múltiples veces, dejándola agonizante en el pavimento.",1,gpt-5-nano,1,4,0
5,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Tiempo después lo exoneraron con un pretexto, para dejar su cargo libre al subdirector de obra, un ingeniero joven de quien se dijo que el directorio estaba comprometido a «inflar» porque acababa de casarse con la hija de una actriz que era amante o [PET_BOUNDARY]amiga íntima[PET_BOUNDARY] de un jefe de Marina. Los técnicos y los supervisores decían que era una injusticia. Él no opinó: de aquel hombre solo podía evocar una piel como de cuero mal trabajado y la frase a los gritos lo comparaba con Gardel.","Tiempo después lo exoneraron con un pretexto, para dejar su cargo libre al subdirector de obra, un ingeniero joven de quien se dijo que el directorio estaba comprometido a «inflar» porque acababa de casarse con la hija de una actriz que era amante o [PET_BOUNDARY]amiga íntima[PET_BOUNDARY] de un jefe de Marina. Los técnicos y los supervisores decían que era una injusticia. Él no opinó: de aquel hombre solo podía evocar una piel como de cuero mal trabajado y la frase a los gritos lo comparaba con Gardel.",1,gpt-5-nano,1,4,1
6,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Si cuando veo una [PET_BOUNDARY]Concentración[PET_BOUNDARY] de gente prefiero irme por otro lado a pasar por ahí.",Si cuando veo una [PET_BOUNDARY]Concentración[PET_BOUNDARY] de gente prefiero irme por otro lado a pasar por ahí.,0,gpt-5-nano,1,4,1
7,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
[PET_BOUNDARY]Dejar ir[PET_BOUNDARY] la mente y saber de una buena vez qué hay más allá de mi miedo, qué hay más allá de la vocecita esa que siempre me detiene","[PET_BOUNDARY]Dejar ir[PET_BOUNDARY] la mente y saber de una buena vez qué hay más allá de mi miedo, qué hay más allá de la vocecita esa que siempre me detiene",0,gpt-5-nano,1,4,1
8,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Lo que de todos modos queda bien claro es su eficacia para dar forma a quienes pasan por las aulas. Para Gálvez, la escuela debe reformarse no porque no funcione sino porque funciona demasiado bien. Sarmiento, entonces, puede [PET_BOUNDARY]Descansar en paz[PET_BOUNDARY], por lo menos hasta que no se impongan los revisionistas de su programa cultural.","Lo que de todos modos queda bien claro es su eficacia para dar forma a quienes pasan por las aulas. Para Gálvez, la escuela debe reformarse no porque no funcione sino porque funciona demasiado bien. Sarmiento, entonces, puede [PET_BOUNDARY]Descansar en paz[PET_BOUNDARY], por lo menos hasta que no se impongan los revisionistas de su programa cultural.",1,gpt-5-nano,1,4,0
9,"¿Puedes clasificar si la frase entre los delimitadores [PET_BOUNDARY] en el texto se está usando de manera eufemística o no? No incluyas una introducción ni una conclusión en tu respuesta. Solo escribe el número 1 si es eufemístico, 0 si no lo es.

Aquí hay algunos textos y sus salidas correspondientes:
Text: 'El problema con la marihuana es el [PET_BOUNDARY]Uso recreativo[PET_BOUNDARY], ese es el punto crítico de esta planta, que se utiliza como se utiliza la cerveza o el vino para consumo; la gente fuma para relajarse, para estar con la perrada, como cuando la gente se reúne a tomar cerveza, y ese es el punto crítico', output: 1.
Text: 'En ese entonces Adele tenía una figura más [PET_BOUNDARY]Curveada[PET_BOUNDARY] y realmente no le importaba cómo se veía.', output: 1.
Text: 'El mandatario intenta ampliar y convertir en permanente la iniciativa conocida como ""ley para proteger a Estados Unidos"", que [PET_BOUNDARY]expiró[PET_BOUNDARY] el 16 de febrero último.', output: 0.
Text: 'El Jardín es grande así que puedes [PET_BOUNDARY]Pasar un buen rato[PET_BOUNDARY] caminando o simplemente sentarte en el pasto a descansar y a apreciar sus áreas verdes.', output: 0.

Este es el texto: '
Cuerpo perfecto, no tiene grandes caderas, ni es [PET_BOUNDARY]Desproporcionado[PET_BOUNDARY], es equilibrado y delgado. Suelen tener un cuerpo bonito, estructura rígida, cuello tenso, espalda recta. Es un cuerpo disciplinado o atlético, o simplemente delgado y bien proporcionado.","Cuerpo perfecto, no tiene grandes caderas, ni es [PET_BOUNDARY]Desproporcionado[PET_BOUNDARY], es equilibrado y delgado. Suelen tener un cuerpo bonito, estructura rígida, cuello tenso, espalda recta. Es un cuerpo disciplinado o atlético, o simplemente delgado y bien proporcionado.",0,gpt-5-nano,1,4,1
