,prompt,text,response,model,temperature,seed,true_value
0,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Iroyin to jade lati ileeṣẹ ṣalaye pe itọju ara lo mu ki Buhari [PET_BOUNDARY]rinrin ajo[PET_BOUNDARY] lọ si ilẹ okeere. Ọjọ kọkanla oṣu karun ọdun 2018 ni Buhari pada si Naijiria lẹyin to gba itọju tan niluu London.'",Iroyin to jade lati ileeṣẹ ṣalaye pe itọju ara lo mu ki Buhari [PET_BOUNDARY]rinrin ajo[PET_BOUNDARY] lọ si ilẹ okeere. Ọjọ kọkanla oṣu karun ọdun 2018 ni Buhari pada si Naijiria lẹyin to gba itọju tan niluu London.,"<think>

</think>

1",Qwen3-4B,1,4,0
1,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Ififunni je [PET_BOUNDARY]ajosepo[PET_BOUNDARY] igbeyawo eyi ti o pe fun fifi ohun ti oko tabi iyawo ba ni sile ki o ba le ba aini ara won pade ati leyin naa gbe idile alayo kale.'",Ififunni je [PET_BOUNDARY]ajosepo[PET_BOUNDARY] igbeyawo eyi ti o pe fun fifi ohun ti oko tabi iyawo ba ni sile ki o ba le ba aini ara won pade ati leyin naa gbe idile alayo kale.,"<think>

</think>

1",Qwen3-4B,1,4,1
2,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Danielle Thornton ati ọkọ rẹ ni wọn pinnu pe awọn ko ni gba [PET_BOUNDARY]Abẹ́rẹ́[PET_BOUNDARY] ajẹsara Covid-19 naa, ti wọn si fi ọwọ lẹran maa woye ohun ti yoo tẹyin igbesẹ naa yọ.'","Danielle Thornton ati ọkọ rẹ ni wọn pinnu pe awọn ko ni gba [PET_BOUNDARY]Abẹ́rẹ́[PET_BOUNDARY] ajẹsara Covid-19 naa, ti wọn si fi ọwọ lẹran maa woye ohun ti yoo tẹyin igbesẹ naa yọ.","<think>

</think>

1",Qwen3-4B,1,4,0
3,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Ti [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] ba fẹ ki awọn ibeji mọ mi, deede, to ba ni bẹẹ kọ, ko buru'","Ti [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] ba fẹ ki awọn ibeji mọ mi, deede, to ba ni bẹẹ kọ, ko buru","<think>

</think>

1",Qwen3-4B,1,4,0
4,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'iyen ni fowo rin lara, lati ibe oun naa ni rerin, o ba gbe owo sibi omu beeni oun naa n rerin, o gbe owo sibi oko ti e naa, o ni ti o ba temi lomu, emi naa a te e loko, ibe naa ti n te ara won bi ere bi ere titi ara iya dayo naa fi dide, o wa n te oko Abbey dada, [PET_BOUNDARY]Dun[PET_BOUNDARY] lo ndun ,'","iyen ni fowo rin lara, lati ibe oun naa ni rerin, o ba gbe owo sibi omu beeni oun naa n rerin, o gbe owo sibi oko ti e naa, o ni ti o ba temi lomu, emi naa a te e loko, ibe naa ti n te ara won bi ere bi ere titi ara iya dayo naa fi dide, o wa n te oko Abbey dada, [PET_BOUNDARY]Dun[PET_BOUNDARY] lo ndun ,","<think>

</think>

1",Qwen3-4B,1,4,1
5,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Oro awon arinrinajo ti ko b’ofinmu ti di wahala kan gbogi fun awon oludibo kaakiri ile alawofunfun, ninu eyi ti won ti jumo fi ijoba to lodi si iwolu lona aito je ni orile ede Italy ati Austria ati bi won se n dun’kooko lati ba [PET_BOUNDARY]Ajosepo[PET_BOUNDARY] o olosu meta to wa laarin Merkel ati orile ede Gamani je.'","Oro awon arinrinajo ti ko b’ofinmu ti di wahala kan gbogi fun awon oludibo kaakiri ile alawofunfun, ninu eyi ti won ti jumo fi ijoba to lodi si iwolu lona aito je ni orile ede Italy ati Austria ati bi won se n dun’kooko lati ba [PET_BOUNDARY]Ajosepo[PET_BOUNDARY] o olosu meta to wa laarin Merkel ati orile ede Gamani je.","<think>

</think>

1",Qwen3-4B,1,4,0
6,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: '[PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] Omo Arayele fi gbogbo ogo fun Ọlọrun pe o di onile laarin osu kan'",[PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] Omo Arayele fi gbogbo ogo fun Ọlọrun pe o di onile laarin osu kan,"<think>

</think>

1",Qwen3-4B,1,4,0
7,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Ẹ pàdé àwọn [PET_BOUNDARY]Àlejò[PET_BOUNDARY] wa pàtàkì l'Ọ́jọ́rú ọ̀sẹ̀ yìí!'",Ẹ pàdé àwọn [PET_BOUNDARY]Àlejò[PET_BOUNDARY] wa pàtàkì l'Ọ́jọ́rú ọ̀sẹ̀ yìí!,"<think>

</think>

1",Qwen3-4B,1,4,0
8,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Ti e yato sii [PET_BOUNDARY]kinni[PET_BOUNDARY] mi. Temi tobi, o si sanra, o de ki'","Ti e yato sii [PET_BOUNDARY]kinni[PET_BOUNDARY] mi. Temi tobi, o si sanra, o de ki","<think>

</think>

1",Qwen3-4B,1,4,1
9,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: '[PET_BOUNDARY]àgbà[PET_BOUNDARY] Awo nilẹ Ibadan, Idowu Olukunle ti salaye pe ẹtan lasan ni bawọn onigbọwọ awọn olowo nabi to n ko awọn asẹwo lọ soke okun, se maa n dun mahuru mọ wọn .'","[PET_BOUNDARY]àgbà[PET_BOUNDARY] Awo nilẹ Ibadan, Idowu Olukunle ti salaye pe ẹtan lasan ni bawọn onigbọwọ awọn olowo nabi to n ko awọn asẹwo lọ soke okun, se maa n dun mahuru mọ wọn .","<think>

</think>

1",Qwen3-4B,1,4,1
10,"/no_think Tọ́kasí bóyá gbolohun ọrọ tó wà láàárín aami [PET_BOUNDARY] nínú ọ̀rọ̀ yii ni a lo ní ìlò àdàpe (euphemistic) tàbí kò rí bẹ́ẹ̀? Má ṣe fi ìdásílẹ̀ tàbí ìparí sínú ìdáhùn rẹ. Kàn dáhùn pẹ̀lú nọ́mbà 1 bí ó bá jẹ́ àdàpe, tàbí 0 bí kò bá rí bẹ́ẹ̀. Èyí ni ọrọ náà: 'Tamedo ti [PET_BOUNDARY]fẹ́ra kù[PET_BOUNDARY]'",Tamedo ti [PET_BOUNDARY]fẹ́ra kù[PET_BOUNDARY],"<think>

</think>

1",Qwen3-4B,1,4,1
